id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Nights,Electric Pulse,electronic,happy,0.87,128,0.79,0.85,0.12
12,Autumn Thoughts,Whisper Folk,indie,sad,0.48,92,0.52,0.44,0.78
13,Digital Rush,Synth Wave,electronic,energetic,0.94,145,0.63,0.78,0.08
14,Mountain Echo,Acoustic Souls,folk,peaceful,0.32,105,0.71,0.39,0.88
15,Sunset Parade,Dream Pop,indie pop,happy,0.81,122,0.80,0.77,0.42
16,Deep Space,Ambient Zone,ambient,chill,0.25,58,0.64,0.31,0.87
17,Urban Beats,HipHop Kings,hip-hop,intense,0.89,104,0.61,0.72,0.18
18,Smooth Velvet,Soul Voices,soul,relaxed,0.52,98,0.75,0.56,0.68
19,Festival Lights,Pop Stars,pop,happy,0.93,142,0.86,0.87,0.11
20,Evening Jazz,Jazz Nights,jazz,relaxed,0.44,88,0.73,0.54,0.82
21,Midnight Blues,Blue Souls,blues,melancholic,0.56,96,0.48,0.52,0.84
22,Country Roads,Rural Hearts,country,peaceful,0.46,100,0.68,0.48,0.91
23,Metal Storm,Heavy Thunder,metal,intense,0.97,168,0.32,0.64,0.06
24,Reggae Vibes,Island Kings,reggae,happy,0.72,94,0.79,0.67,0.76
25,Ocean Waves,Classical Minds,classical,peaceful,0.20,50,0.72,0.15,0.95
26,Funk Groove,Rhythm Masters,funk,energetic,0.84,120,0.77,0.81,0.24
27,Indie Sunset,Lo-Fi Dreams,indie,introspective,0.35,76,0.45,0.36,0.82
28,Techno Pulse,Electronic Force,techno,energetic,0.92,138,0.58,0.89,0.05
29,Ballad Heart,Singer Soul,ballad,sad,0.38,70,0.41,0.42,0.87
30,R&B Smooth,Soul Groove,r&b,romantic,0.68,108,0.76,0.64,0.58
31,Punk Energy,Chaos Crew,punk,angry,0.86,146,0.35,0.72,0.12
32,Gospel Light,Spirit Voices,gospel,joyful,0.71,105,0.87,0.69,0.73
33,Disco Magic,Night Dancers,disco,happy,0.88,130,0.84,0.86,0.15
34,Ambient Dream,Soundscape,ambient,dreamy,0.30,62,0.67,0.28,0.89
35,Latin Fiesta,Tropical Beats,latin,happy,0.79,116,0.81,0.74,0.62
